id_penjualan,id_invoice,tanggal,id_customer,nama,id_barang,nama_barang,harga,unit,jumlah_barang,mata_uang,kemasan,cabang_sales,id_distributor,id_cabang,kode_lini,lini,id_group,kategori_grup
IN6001_BRG0004,IN6001,2022-04-02,CUST55603,"APOTEK SAHABAT",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,21,IDR,KAPSUL,Padang,TD,CAB02,201,VNS,Z32,Apotek
IN6002_BRG0007,IN6002,2022-02-04,CUST55546,"APOTEK MAJA",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,14,IDR,BOTOL,Kuningan,TD,CAB05,206,ETIKAL,Z32,Apotek
IN6003_BRG0005,IN6003,2022-01-27,CUST55424,"KLINIK DR. ANDRI",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,9,IDR,TABLET,Lampung,TD,CAB03,203,SLCYL,Z31,Klinik
IN6004_BRG0010,IN6004,2022-05-01,CUST55729,"KLINIK SAHABAT",BRG0010,PARACETAMOL,6940.30,DUS,5,IDR,BOTOL,Tangerang,TA,CAB08,208,SLCYL,Z31,Klinik
IN6005_BRG0008,IN6005,2022-02-01,CUST55447,"APOTEK TAPAK",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,12,IDR,KAPSUL,Aceh,EPM,CAB01,204,MARCKS,Z32,Apotek
IN6006_BRG0005,IN6006,2022-02-12,CUST55554,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,5,IDR,TABLET,Jakarta,TA,CAB02,203,SLCYL,Z31,Klinik
IN6007_BRG0006,IN6007,2022-05-02,CUST55715,"APOTEK SINAR JAYA",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,9,IDR,TABLET,Bekasi,TD,CAB09,205,"OGB & PH",Z32,Apotek
IN6008_BRG0004,IN6008,2022-01-30,CUST55469,"KLINIK DR. ANDRI",BRG0004,"TRAMADOL KAPSUL 50 MG",6940.30,DUS,12,IDR,KAPSUL,Lampung,TA,CAB03,201,SLCYL,Z31,Klinik
IN6009_BRG0008,IN6009,2022-04-28,CUST55637,"KLINIK GM",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,76,IDR,KAPSUL,Jakarta,TD,CAB06,204,MARCKS,Z31,Klinik
IN6010_BRG0001,IN6010,2022-05-31,CUST55676,"KLINIK SAHABAT",BRG0001,"ACYCLOVIR DUS",4592.10,DUS,5,IDR,DUS,Tangerang,EPM,CAB01,206,ETIKAL,Z31,Klinik
IN6011_BRG0008,IN6011,2022-02-25,CUST55567,"APOTEK TAPAK",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,10,IDR,KAPSUL,Aceh,TA,CAB01,204,MARCKS,Z32,Apotek
IN6012_BRG0003,IN6012,2022-06-16,CUST55712,"KLINIK GM",BRG0003,AMPICILLIN,10690.60,DUS,5,IDR,BOTOL,Jakarta,TA,CAB06,210,MARCKS,Z31,Klinik
IN6013_BRG0002,IN6013,2022-01-28,CUST55407,"APOTEK SINAR JAYA",BRG0002,"ALERGINE TABLET SALUT",3991.90,DUS,25,IDR,DUS,Bekasi,TD,CAB01,203,MARCKS,Z32,Apotek
IN6014_BRG0002,IN6014,2022-03-21,CUST55591,"APOTEK MAJA",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,34,IDR,DUS,Kuningan,TA,CAB05,203,ETIKAL,Z32,Apotek
IN6015_BRG0003,IN6015,2022-01-31,CUST55482,"APOTEK SINAR JAYA",BRG0003,AMPICILLIN,10690.60,DUS,5,IDR,BOTOL,Bekasi,TD,CAB01,210,MARCKS,Z32,Apotek
IN6016_BRG0010,IN6016,2022-03-09,CUST55579,"KLINIK SAHABAT",BRG0010,PARACETAMOL,6940.30,DUS,5,IDR,BOTOL,Tangerang,TD,CAB08,208,SLCYL,Z31,Klinik
IN6017_BRG0004,IN6017,2022-02-01,CUST55513,"APOTEK SAHABAT",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,23,IDR,KAPSUL,Padang,TA,CAB02,201,VNS,Z32,Apotek
IN6018_BRG0003,IN6018,2022-04-01,CUST55602,"APOTEK SINAR JAYA",BRG0003,AMPICILLIN,10690.60,DUS,14,IDR,BOTOL,Bekasi,EPM,CAB01,210,MARCKS,Z32,Apotek
IN6019_BRG0004,IN6019,2022-04-20,CUST55663,"APOTEK SAHABAT",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,12,IDR,KAPSUL,Padang,EPM,CAB02,201,VNS,Z32,Apotek
IN6020_BRG0002,IN6020,2022-03-11,CUST55581,"APOTEK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,1,IDR,DUS,Padang,TA,CAB10,203,ETIKAL,Z32,Apotek
IN6021_BRG0001,IN6021,2022-04-19,CUST55620,"APOTEK TAPAK",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,7,IDR,DUS,Aceh,TD,CAB04,206,"OGB & PH",Z32,Apotek
IN6022_BRG0005,IN6022,2022-05-23,CUST55654,"KLINIK SAHABAT",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,9,IDR,TABLET,Tangerang,TD,CAB08,203,SLCYL,Z31,Klinik
IN6023_BRG0010,IN6023,2022-02-01,CUST55399,"KLINIK SAHABAT",BRG0010,PARACETAMOL,6940.30,DUS,15,IDR,BOTOL,Tangerang,EPM,CAB08,208,SLCYL,Z31,Klinik
IN6024_BRG0005,IN6024,2022-01-27,CUST55394,"KLINIK DR. ANDRI",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,12,IDR,TABLET,Lampung,TD,CAB03,203,SLCYL,Z31,Klinik
IN6025_BRG0004,IN6025,2022-01-30,CUST55523,"APOTEK MAJA",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,7,IDR,KAPSUL,Kuningan,TA,CAB01,201,VNS,Z32,Apotek
IN6026_BRG0003,IN6026,2022-02-16,CUST55558,"APOTEK SAHABAT",BRG0003,AMPICILLIN,5780.70,DUS,21,IDR,BOTOL,Padang,EPM,CAB02,210,VNS,Z32,Apotek
IN6027_BRG0003,IN6027,2022-04-11,CUST55612,"APOTEK TAPAK",BRG0003,AMPICILLIN,10690.60,DUS,10,IDR,BOTOL,Aceh,EPM,CAB01,210,MARCKS,Z32,Apotek
IN6028_BRG0001,IN6028,2022-01-23,CUST55420,"APOTEK MERDEKA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,98,IDR,DUS,Bandung,EPM,CAB03,206,"OGB & PH",Z32,Apotek
IN6029_BRG0010,IN6029,2022-01-28,CUST55389,"KLINIK GM",BRG0010,PARACETAMOL,6940.30,DUS,4,IDR,BOTOL,Jakarta,EPM,CAB09,208,SLCYL,Z31,Klinik
IN6030_BRG0004,IN6030,2022-05-01,CUST55709,"KLINIK DR. ANDRI",BRG0004,"TRAMADOL KAPSUL 50 MG",6940.30,DUS,10,IDR,KAPSUL,Lampung,TA,CAB03,201,SLCYL,Z31,Klinik
IN6031_BRG0001,IN6031,2022-04-15,CUST55616,"KLINIK SAHABAT",BRG0001,"ACYCLOVIR DUS",4592.10,DUS,4,IDR,DUS,Tangerang,TD,CAB01,206,ETIKAL,Z31,Klinik
IN6032_BRG0004,IN6032,2022-06-03,CUST55679,"KLINIK DR. ANDRI",BRG0004,"TRAMADOL KAPSUL 50 MG",6940.30,DUS,23,IDR,KAPSUL,Lampung,TA,CAB03,201,SLCYL,Z31,Klinik
IN6033_BRG0009,IN6033,2022-06-12,CUST55688,"APOTEK MAJA",BRG0009,"AMBROXOL HC",5780.70,DUS,34,IDR,BOTOL,Kuningan,TD,CAB01,207,VNS,Z32,Apotek
IN6034_BRG0003,IN6034,2022-02-20,CUST55562,"KLINIK GM",BRG0003,AMPICILLIN,10690.60,DUS,14,IDR,BOTOL,Jakarta,TD,CAB06,210,MARCKS,Z31,Klinik
IN6035_BRG0007,IN6035,2022-04-25,CUST55626,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,20,IDR,BOTOL,Padang,EPM,CAB10,206,ETIKAL,Z32,Apotek
IN6036_BRG0009,IN6036,2022-01-27,CUST55388,"APOTEK MAJA",BRG0009,"AMBROXOL HC",5780.70,DUS,23,IDR,BOTOL,Kuningan,TA,CAB08,207,VNS,Z32,Apotek
IN6037_BRG0002,IN6037,2022-05-03,CUST55721,"KLINIK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,45,IDR,DUS,Tangerang,TD,CAB01,203,ETIKAL,Z31,Klinik
IN6038_BRG0008,IN6038,2022-01-30,CUST55517,"KLINIK GM",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,98,IDR,KAPSUL,Jakarta,TA,CAB06,204,MARCKS,Z31,Klinik
IN6039_BRG0001,IN6039,2022-01-23,CUST55480,"APOTEK MERDEKA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,13,IDR,DUS,Bandung,EPM,CAB03,206,"OGB & PH",Z32,Apotek
IN6040_BRG0001,IN6040,2022-01-31,CUST55470,"APOTEK TAPAK",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,10,IDR,DUS,Aceh,EPM,CAB04,206,"OGB & PH",Z32,Apotek
IN6041_BRG0001,IN6041,2022-02-28,CUST55570,"APOTEK MERDEKA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,5,IDR,DUS,Bandung,TD,CAB03,206,"OGB & PH",Z32,Apotek
IN6042_BRG0009,IN6042,2022-01-31,CUST55428,"APOTEK MERDEKA",BRG0009,"AMBROXOL HC",5780.70,DUS,67,IDR,BOTOL,Bandung,TD,CAB07,207,VNS,Z32,Apotek
IN6043_BRG0001,IN6043,2022-03-10,CUST55580,"APOTEK SINAR JAYA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,9,IDR,DUS,Bekasi,TD,CAB09,206,"OGB & PH",Z32,Apotek
IN6044_BRG0005,IN6044,2022-05-01,CUST55694,"KLINIK DR. ANDRI",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,18,IDR,TABLET,Lampung,TD,CAB03,203,SLCYL,Z31,Klinik
IN6045_BRG0007,IN6045,2022-01-31,CUST55506,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,21,IDR,BOTOL,Padang,TA,CAB10,206,ETIKAL,Z32,Apotek
IN6046_BRG0002,IN6046,2022-06-15,CUST55691,"KLINIK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,12,IDR,DUS,Tangerang,TD,CAB01,203,ETIKAL,Z31,Klinik
IN6047_BRG0006,IN6047,2022-04-26,CUST55635,"APOTEK TAPAK",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,12,IDR,TABLET,Aceh,TA,CAB04,205,"OGB & PH",Z32,Apotek
IN6048_BRG0005,IN6048,2022-01-31,CUST55464,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,25,IDR,TABLET,Jakarta,EPM,CAB02,203,SLCYL,Z31,Klinik
IN6049_BRG0010,IN6049,2022-01-28,CUST55479,"KLINIK GM",BRG0010,PARACETAMOL,6940.30,DUS,9,IDR,BOTOL,Jakarta,TA,CAB02,208,SLCYL,Z31,Klinik
IN6050_BRG0005,IN6050,2022-01-31,CUST55434,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,34,IDR,TABLET,Jakarta,TD,CAB02,203,SLCYL,Z31,Klinik
IN6051_BRG0004,IN6051,2022-03-23,CUST55593,"APOTEK MERDEKA",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,15,IDR,KAPSUL,Bandung,TD,CAB07,201,VNS,Z32,Apotek
IN6052_BRG0006,IN6052,2022-01-23,CUST55385,"APOTEK SINAR JAYA",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,5,IDR,TABLET,Bekasi,TA,CAB05,205,"OGB & PH",Z32,Apotek
IN6053_BRG0002,IN6053,2022-01-28,CUST55437,"APOTEK SINAR JAYA",BRG0002,"ALERGINE TABLET SALUT",3991.90,DUS,44,IDR,DUS,Bekasi,EPM,CAB01,203,MARCKS,Z32,Apotek
IN6054_BRG0006,IN6054,2022-02-01,CUST55435,"APOTEK MERDEKA",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,34,IDR,TABLET,Bandung,TD,CAB03,205,"OGB & PH",Z32,Apotek
IN6055_BRG0004,IN6055,2022-03-13,CUST55583,"APOTEK MAJA",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,4,IDR,KAPSUL,Kuningan,TD,CAB01,201,VNS,Z32,Apotek
IN6056_BRG0002,IN6056,2022-04-20,CUST55621,"APOTEK MAJA",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,100,IDR,DUS,Kuningan,TA,CAB05,203,ETIKAL,Z32,Apotek
IN6057_BRG0003,IN6057,2022-05-17,CUST55648,"APOTEK SAHABAT",BRG0003,AMPICILLIN,5780.70,DUS,10,IDR,BOTOL,Padang,TA,CAB02,210,VNS,Z32,Apotek
IN6058_BRG0003,IN6058,2022-01-27,CUST55532,"KLINIK GM",BRG0003,AMPICILLIN,10690.60,DUS,34,IDR,BOTOL,Jakarta,TD,CAB06,210,MARCKS,Z31,Klinik
IN6059_BRG0004,IN6059,2022-06-07,CUST55683,"APOTEK MERDEKA",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,11,IDR,KAPSUL,Bandung,EPM,CAB07,201,VNS,Z32,Apotek
IN6060_BRG0004,IN6060,2022-02-01,CUST55543,"APOTEK SAHABAT",BRG0004,"TRAMADOL KAPSUL 50 MG",8700.70,DUS,22,IDR,KAPSUL,Padang,TD,CAB02,201,VNS,Z32,Apotek
IN6061_BRG0007,IN6061,2022-02-24,CUST55566,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,12,IDR,BOTOL,Padang,TD,CAB10,206,ETIKAL,Z32,Apotek
IN6062_BRG0001,IN6062,2022-01-27,CUST55490,"APOTEK SINAR JAYA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,12,IDR,DUS,Bekasi,TA,CAB09,206,"OGB & PH",Z32,Apotek
IN6063_BRG0008,IN6063,2022-02-01,CUST55417,"APOTEK TAPAK",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,12,IDR,KAPSUL,Aceh,TD,CAB01,204,MARCKS,Z32,Apotek
IN6064_BRG0006,IN6064,2022-01-28,CUST55515,"APOTEK TAPAK",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,10,IDR,TABLET,Aceh,TD,CAB04,205,"OGB & PH",Z32,Apotek
IN6065_BRG0005,IN6065,2022-01-23,CUST55474,"KLINIK SAHABAT",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,4,IDR,TABLET,Tangerang,EPM,CAB08,203,SLCYL,Z31,Klinik
IN6066_BRG0009,IN6066,2022-01-27,CUST55538,"APOTEK MAJA",BRG0009,"AMBROXOL HC",5780.70,DUS,12,IDR,BOTOL,Kuningan,EPM,CAB01,207,VNS,Z32,Apotek
IN6067_BRG0005,IN6067,2022-05-01,CUST55704,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,14,IDR,TABLET,Jakarta,TD,CAB02,203,SLCYL,Z31,Klinik
IN6068_BRG0007,IN6068,2022-01-31,CUST55536,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,6,IDR,BOTOL,Padang,TD,CAB10,206,ETIKAL,Z32,Apotek
IN6069_BRG0002,IN6069,2022-03-01,CUST55571,"KLINIK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,4,IDR,DUS,Tangerang,TA,CAB01,203,ETIKAL,Z31,Klinik
IN6070_BRG0006,IN6070,2022-01-28,CUST55485,"APOTEK TAPAK",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,23,IDR,TABLET,Aceh,TD,CAB04,205,"OGB & PH",Z32,Apotek
IN6071_BRG0007,IN6071,2022-04-27,CUST55636,"APOTEK MAJA",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,95,IDR,BOTOL,Kuningan,EPM,CAB05,206,ETIKAL,Z32,Apotek
IN6072_BRG0008,IN6072,2022-02-01,CUST55477,"APOTEK TAPAK",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,1,IDR,KAPSUL,Aceh,EPM,CAB01,204,MARCKS,Z32,Apotek
IN6073_BRG0009,IN6073,2022-04-27,CUST55628,"APOTEK MAJA",BRG0009,"AMBROXOL HC",5780.70,DUS,34,IDR,BOTOL,Kuningan,TA,CAB01,207,VNS,Z32,Apotek
IN6074_BRG0003,IN6074,2022-01-27,CUST55472,"KLINIK GM",BRG0003,AMPICILLIN,10690.60,DUS,98,IDR,BOTOL,Jakarta,TD,CAB06,210,MARCKS,Z31,Klinik
IN6075_BRG0009,IN6075,2022-04-16,CUST55638,"APOTEK MERDEKA",BRG0009,"AMBROXOL HC",5780.70,DUS,48,IDR,BOTOL,Bandung,TA,CAB07,207,VNS,Z32,Apotek
IN6076_BRG0005,IN6076,2022-03-24,CUST55594,"KLINIK SAHABAT",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,12,IDR,TABLET,Tangerang,TA,CAB08,203,SLCYL,Z31,Klinik
IN6077_BRG0002,IN6077,2022-05-16,CUST55647,"APOTEK SINAR JAYA",BRG0002,"ALERGINE TABLET SALUT",3991.90,DUS,12,IDR,DUS,Bekasi,TD,CAB01,203,MARCKS,Z32,Apotek
IN6078_BRG0001,IN6078,2022-03-30,CUST55600,"APOTEK MERDEKA",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,12,IDR,DUS,Bandung,TD,CAB03,206,"OGB & PH",Z32,Apotek
IN6079_BRG0005,IN6079,2022-01-31,CUST55494,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,34,IDR,TABLET,Jakarta,EPM,CAB02,203,SLCYL,Z31,Klinik
IN6080_BRG0007,IN6080,2022-03-26,CUST55596,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,14,IDR,BOTOL,Padang,TD,CAB10,206,ETIKAL,Z32,Apotek
IN6081_BRG0004,IN6081,2022-03-19,CUST55589,"KLINIK DR. ANDRI",BRG0004,"TRAMADOL KAPSUL 50 MG",6940.30,DUS,25,IDR,KAPSUL,Lampung,TD,CAB03,201,SLCYL,Z31,Klinik
IN6082_BRG0002,IN6082,2022-04-16,CUST55617,"APOTEK SINAR JAYA",BRG0002,"ALERGINE TABLET SALUT",3991.90,DUS,8,IDR,DUS,Bekasi,TD,CAB01,203,MARCKS,Z32,Apotek
IN6083_BRG0008,IN6083,2022-01-30,CUST55487,"KLINIK GM",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,2,IDR,KAPSUL,Jakarta,EPM,CAB06,204,MARCKS,Z31,Klinik
IN6084_BRG0002,IN6084,2022-02-01,CUST55471,"APOTEK MAJA",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,67,IDR,DUS,Kuningan,TD,CAB05,203,ETIKAL,Z32,Apotek
IN6085_BRG0002,IN6085,2022-03-31,CUST55601,"KLINIK SAHABAT",BRG0002,"ALERGINE TABLET SALUT",2337.50,DUS,25,IDR,DUS,Tangerang,TA,CAB01,203,ETIKAL,Z31,Klinik
IN6086_BRG0003,IN6086,2022-01-23,CUST55408,"APOTEK SAHABAT",BRG0003,AMPICILLIN,5780.70,DUS,14,IDR,BOTOL,Padang,TD,CAB02,210,VNS,Z32,Apotek
IN6087_BRG0001,IN6087,2022-02-18,CUST55560,"APOTEK TAPAK",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,12,IDR,DUS,Aceh,TA,CAB04,206,"OGB & PH",Z32,Apotek
IN6088_BRG0009,IN6088,2022-02-06,CUST55548,"APOTEK MERDEKA",BRG0009,"AMBROXOL HC",5780.70,DUS,10,IDR,BOTOL,Bandung,EPM,CAB07,207,VNS,Z32,Apotek
IN6089_BRG0007,IN6089,2022-01-25,CUST55386,"APOTEK SAHABAT",BRG0007,"ERGOTAMINE COFFEINE",4592.10,DUS,9,IDR,BOTOL,Padang,EPM,CAB06,206,ETIKAL,Z32,Apotek
IN6090_BRG0006,IN6090,2022-05-24,CUST55655,"APOTEK SINAR JAYA",BRG0006,"KETOCONAZOLE TABLET 200 MG",2819.20,DUS,21,IDR,TABLET,Bekasi,TA,CAB09,205,"OGB & PH",Z32,Apotek
IN6091_BRG0008,IN6091,2022-06-11,CUST55687,"APOTEK TAPAK",BRG0008,"TETRACYCLINE KAPSUL 250 MG",3991.90,DUS,14,IDR,KAPSUL,Aceh,TD,CAB01,204,MARCKS,Z32,Apotek
IN6092_BRG0005,IN6092,2022-03-14,CUST55584,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,2,IDR,TABLET,Jakarta,TA,CAB02,203,SLCYL,Z31,Klinik
IN6093_BRG0005,IN6093,2022-05-29,CUST55674,"KLINIK GM",BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.30,DUS,13,IDR,TABLET,Jakarta,TD,CAB02,203,SLCYL,Z31,Klinik
IN6094_BRG0001,IN6094,2022-05-02,CUST55710,"APOTEK TAPAK",BRG0001,"ACYCLOVIR DUS",1169.91,DUS,67,IDR,DUS,Aceh,EPM,CAB04,206,"OGB & PH",Z32,Apotek
IN6095_BRG0009,IN6095,2022-01-27,CUST55478,"APOTEK MAJA",BRG0009,"AMBROXOL HC",5780.70,DUS,5,IDR,BOTOL,Kuningan,TD,CAB01,207,VNS,Z32,Apotek
