id_invoice,tanggal,id_customer,nama_customer,kota,nama_produk,total_barang_terjual,total_pembelian,id_distributor,kategori_grup
IN5999,2022-05-01,CUST55632,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,5,53453.00,EPM,Apotek
IN6000,2022-06-16,CUST55717,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",7,27943.30,EPM,Apotek
IN6001,2022-04-02,CUST55603,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",21,182714.70,TD,Apotek
IN6002,2022-02-04,CUST55546,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",14,64289.40,TD,Apotek
IN6003,2022-01-27,CUST55424,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",9,50834.70,TD,Klinik
IN6004,2022-05-01,CUST55729,"KLINIK SAHABAT",Tangerang,PARACETAMOL,5,34701.50,TA,Klinik
IN6005,2022-02-01,CUST55447,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",12,47902.80,EPM,Apotek
IN6006,2022-02-12,CUST55554,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5,28241.50,TA,Klinik
IN6007,2022-05-02,CUST55715,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",9,25372.80,TD,Apotek
IN6008,2022-01-30,CUST55469,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",12,83283.60,TA,Klinik
IN6009,2022-04-28,CUST55637,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",76,303384.40,TD,Klinik
IN6010,2022-05-31,CUST55676,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",5,22960.50,EPM,Klinik
IN6011,2022-02-25,CUST55567,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",10,39919.00,TA,Apotek
IN6012,2022-06-16,CUST55712,"KLINIK GM",Jakarta,AMPICILLIN,5,53453.00,TA,Klinik
IN6013,2022-01-28,CUST55407,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",25,99797.50,TD,Apotek
IN6014,2022-03-21,CUST55591,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",34,79475.00,TA,Apotek
IN6015,2022-01-31,CUST55482,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,5,53453.00,TD,Apotek
IN6016,2022-03-09,CUST55579,"KLINIK SAHABAT",Tangerang,PARACETAMOL,5,34701.50,TD,Klinik
IN6017,2022-02-01,CUST55513,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",23,200116.10,TA,Apotek
IN6018,2022-04-01,CUST55602,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,14,149668.40,EPM,Apotek
IN6019,2022-04-20,CUST55663,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",12,104408.40,EPM,Apotek
IN6020,2022-03-11,CUST55581,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",1,2337.50,TA,Apotek
IN6021,2022-04-19,CUST55620,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",7,8189.37,TD,Apotek
IN6022,2022-05-23,CUST55654,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",9,50834.70,TD,Klinik
IN6023,2022-02-01,CUST55399,"KLINIK SAHABAT",Tangerang,PARACETAMOL,15,104104.50,EPM,Klinik
IN6024,2022-01-27,CUST55394,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,67779.60,TD,Klinik
IN6025,2022-01-30,CUST55523,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",7,60904.90,TA,Apotek
IN6026,2022-02-16,CUST55558,"APOTEK SAHABAT",Padang,AMPICILLIN,21,121394.70,EPM,Apotek
IN6027,2022-04-11,CUST55612,"APOTEK TAPAK",Aceh,AMPICILLIN,10,106906.00,EPM,Apotek
IN6028,2022-01-23,CUST55420,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",98,114651.18,EPM,Apotek
IN6029,2022-01-28,CUST55389,"KLINIK GM",Jakarta,PARACETAMOL,4,27761.20,EPM,Klinik
IN6030,2022-05-01,CUST55709,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",10,69403.00,TA,Klinik
IN6031,2022-04-15,CUST55616,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",4,18368.40,TD,Klinik
IN6032,2022-06-03,CUST55679,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",23,159626.90,TA,Klinik
IN6033,2022-06-12,CUST55688,"APOTEK MAJA",Kuningan,"AMBROXOL HC",34,196543.80,TD,Apotek
IN6034,2022-02-20,CUST55562,"KLINIK GM",Jakarta,AMPICILLIN,14,149668.40,TD,Klinik
IN6035,2022-04-25,CUST55626,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",20,91842.00,EPM,Apotek
IN6036,2022-01-27,CUST55388,"APOTEK MAJA",Kuningan,"AMBROXOL HC",23,132956.10,TA,Apotek
IN6037,2022-05-03,CUST55721,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",45,105187.50,TD,Klinik
IN6038,2022-01-30,CUST55517,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",98,391206.20,TA,Klinik
IN6039,2022-01-23,CUST55480,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",13,15208.83,EPM,Apotek
IN6040,2022-01-31,CUST55470,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",10,11699.10,EPM,Apotek
IN6041,2022-02-28,CUST55570,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",5,5849.55,TD,Apotek
IN6042,2022-01-31,CUST55428,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",67,387306.90,TD,Apotek
IN6043,2022-03-10,CUST55580,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",9,10529.19,TD,Apotek
IN6044,2022-05-01,CUST55694,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",18,101669.40,TD,Klinik
IN6045,2022-01-31,CUST55506,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",21,96434.10,TA,Apotek
IN6046,2022-06-15,CUST55691,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",12,28050.00,TD,Klinik
IN6047,2022-04-26,CUST55635,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",12,33830.40,TA,Apotek
IN6048,2022-01-31,CUST55464,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",25,141207.50,EPM,Klinik
IN6049,2022-01-28,CUST55479,"KLINIK GM",Jakarta,PARACETAMOL,9,62462.70,TA,Klinik
IN6050,2022-01-31,CUST55434,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",34,192042.20,TD,Klinik
IN6051,2022-03-23,CUST55593,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",15,130510.50,TD,Apotek
IN6052,2022-01-23,CUST55385,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",5,14096.00,TA,Apotek
IN6053,2022-01-28,CUST55437,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",44,175643.60,EPM,Apotek
IN6054,2022-02-01,CUST55435,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",34,95852.80,TD,Apotek
IN6055,2022-03-13,CUST55583,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",4,34802.80,TD,Apotek
IN6056,2022-04-20,CUST55621,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",100,233750.00,TA,Apotek
IN6057,2022-05-17,CUST55648,"APOTEK SAHABAT",Padang,AMPICILLIN,10,57807.00,TA,Apotek
IN6058,2022-01-27,CUST55532,"KLINIK GM",Jakarta,AMPICILLIN,34,363480.40,TD,Klinik
IN6059,2022-06-07,CUST55683,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",11,95707.70,EPM,Apotek
IN6060,2022-02-01,CUST55543,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",22,191415.40,TD,Apotek
IN6061,2022-02-24,CUST55566,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",12,55105.20,TD,Apotek
IN6062,2022-01-27,CUST55490,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",12,14038.92,TA,Apotek
IN6063,2022-02-01,CUST55417,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",12,47902.80,TD,Apotek
IN6064,2022-01-28,CUST55515,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",10,28192.00,TD,Apotek
IN6065,2022-01-23,CUST55474,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",4,22593.20,EPM,Klinik
IN6066,2022-01-27,CUST55538,"APOTEK MAJA",Kuningan,"AMBROXOL HC",12,69368.40,EPM,Apotek
IN6067,2022-05-01,CUST55704,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",14,79076.20,TD,Klinik
IN6068,2022-01-31,CUST55536,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",6,27552.60,TD,Apotek
IN6069,2022-03-01,CUST55571,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",4,9350.00,TA,Klinik
IN6070,2022-01-28,CUST55485,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",23,64841.60,TD,Apotek
IN6071,2022-04-27,CUST55636,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",95,436249.50,EPM,Apotek
IN6072,2022-02-01,CUST55477,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",1,3991.90,EPM,Apotek
IN6073,2022-04-27,CUST55628,"APOTEK MAJA",Kuningan,"AMBROXOL HC",34,196543.80,TA,Apotek
IN6074,2022-01-27,CUST55472,"KLINIK GM",Jakarta,AMPICILLIN,98,1047678.80,TD,Klinik
IN6075,2022-04-16,CUST55638,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",48,277473.60,TA,Apotek
IN6076,2022-03-24,CUST55594,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,67779.60,TA,Klinik
IN6077,2022-05-16,CUST55647,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",12,47902.80,TD,Apotek
IN6078,2022-03-30,CUST55600,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",12,14038.92,TD,Apotek
IN6079,2022-01-31,CUST55494,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",34,192042.20,EPM,Klinik
IN6080,2022-03-26,CUST55596,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",14,64289.40,TD,Apotek
IN6081,2022-03-19,CUST55589,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",25,173507.50,TD,Klinik
IN6082,2022-04-16,CUST55617,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",8,31935.20,TD,Apotek
IN6083,2022-01-30,CUST55487,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",2,7983.80,EPM,Klinik
IN6084,2022-02-01,CUST55471,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",67,156612.50,TD,Apotek
IN6085,2022-03-31,CUST55601,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",25,58437.50,TA,Klinik
IN6086,2022-01-23,CUST55408,"APOTEK SAHABAT",Padang,AMPICILLIN,14,80929.80,TD,Apotek
IN6087,2022-02-18,CUST55560,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",12,14038.92,TA,Apotek
IN6088,2022-02-06,CUST55548,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",10,57807.00,EPM,Apotek
IN6089,2022-01-25,CUST55386,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",9,41328.90,EPM,Apotek
IN6090,2022-05-24,CUST55655,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",21,59203.20,TA,Apotek
IN6091,2022-06-11,CUST55687,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",14,55886.60,TD,Apotek
IN6092,2022-03-14,CUST55584,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",2,11296.60,TA,Klinik
IN6093,2022-05-29,CUST55674,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",13,73427.90,TD,Klinik
IN6094,2022-05-02,CUST55710,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",67,78383.97,EPM,Apotek
IN6095,2022-01-27,CUST55478,"APOTEK MAJA",Kuningan,"AMBROXOL HC",5,28903.50,TD,Apotek
IN6096,2022-02-19,CUST55561,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",25,58437.50,EPM,Apotek
IN6097,2022-04-30,CUST55718,"APOTEK MAJA",Kuningan,"AMBROXOL HC",100,578070.00,TD,Apotek
IN6098,2022-03-29,CUST55599,"KLINIK GM",Jakarta,PARACETAMOL,19,131865.70,EPM,Klinik
IN6099,2022-01-30,CUST55457,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",5,19959.50,EPM,Klinik
IN6100,2022-06-01,CUST55677,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",9,35927.10,TD,Apotek
IN6101,2022-04-30,CUST55723,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",20,174014.00,EPM,Apotek
IN6102,2022-01-31,CUST55392,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,11,117596.60,TA,Apotek
IN6103,2022-01-27,CUST55496,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",15,68881.50,TA,Klinik
IN6104,2022-01-30,CUST55433,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",45,391531.50,EPM,Apotek
IN6105,2022-05-02,CUST55700,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",21,24568.11,EPM,Apotek
IN6106,2022-04-30,CUST55713,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",4,34802.80,EPM,Apotek
IN6107,2022-01-30,CUST55511,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",24,56100.00,EPM,Klinik
IN6108,2022-01-30,CUST55409,"KLINIK DR. ANDRI",Lampung,"TRAMADOL KAPSUL 50 MG",21,145746.30,TA,Klinik
IN6109,2022-06-16,CUST55702,"APOTEK TAPAK",Aceh,AMPICILLIN,12,128287.20,TA,Apotek
IN6110,2022-03-06,CUST55576,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",9,41328.90,TD,Apotek
IN6111,2022-05-26,CUST55657,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",12,47902.80,TD,Apotek
IN6112,2022-05-03,CUST55726,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",34,156131.40,TA,Apotek
IN6113,2022-01-27,CUST55400,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",12,14038.92,TD,Apotek
IN6114,2022-02-27,CUST55569,"KLINIK GM",Jakarta,PARACETAMOL,98,680149.40,TD,Klinik
IN6115,2022-05-03,CUST55716,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",10,45921.00,TA,Apotek
IN6116,2022-01-28,CUST55455,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",67,188886.40,TD,Apotek
IN6117,2022-05-22,CUST55667,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",5,19959.50,TD,Klinik
IN6118,2022-01-27,CUST55502,"KLINIK GM",Jakarta,AMPICILLIN,19,203121.40,TD,Klinik
IN6119,2022-01-28,CUST55449,"KLINIK GM",Jakarta,PARACETAMOL,14,97164.20,TA,Klinik
IN6120,2022-02-01,CUST55465,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",14,39468.80,TD,Apotek
IN6121,2022-05-21,CUST55666,"APOTEK MAJA",Kuningan,"ERGOTAMINE COFFEINE",98,450025.80,EPM,Apotek
IN6122,2022-01-30,CUST55445,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",21,59203.20,TD,Apotek
IN6123,2022-06-16,CUST55697,"KLINIK GM",Jakarta,"TETRACYCLINE KAPSUL 250 MG",12,47902.80,TD,Klinik
IN6124,2022-01-27,CUST55442,"KLINIK GM",Jakarta,AMPICILLIN,95,1015607.00,TA,Klinik
IN6125,2022-01-23,CUST55402,"APOTEK TAPAK",Aceh,AMPICILLIN,14,149668.40,TA,Apotek
IN6126,2022-04-23,CUST55624,"KLINIK SAHABAT",Tangerang,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",45,254173.50,TD,Klinik
IN6127,2022-04-24,CUST55625,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",34,95852.80,TA,Apotek
IN6128,2022-02-01,CUST55537,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",79,315360.10,TA,Apotek
IN6129,2022-02-14,CUST55556,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",8,36736.80,TD,Klinik
IN6130,2022-01-31,CUST55518,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",5,28903.50,EPM,Apotek
IN6131,2022-01-27,CUST55418,"APOTEK MAJA",Kuningan,"AMBROXOL HC",10,57807.00,TD,Apotek
IN6132,2022-04-30,CUST55708,"APOTEK SAHABAT",Padang,AMPICILLIN,12,69368.40,TD,Apotek
IN6133,2022-02-01,CUST55429,"KLINIK SAHABAT",Tangerang,PARACETAMOL,78,541343.40,TA,Klinik
IN6134,2022-02-01,CUST55441,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",12,28050.00,TD,Apotek
IN6135,2022-02-08,CUST55550,"APOTEK SINAR JAYA",Bekasi,"ACYCLOVIR DUS",12,14038.92,TA,Apotek
IN6136,2022-01-27,CUST55526,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",78,358183.80,TD,Klinik
IN6137,2022-03-03,CUST55573,"APOTEK SAHABAT",Padang,"TRAMADOL KAPSUL 50 MG",9,78306.30,TD,Apotek
IN6138,2022-04-18,CUST55661,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",10,23375.00,TD,Klinik
IN6139,2022-04-22,CUST55623,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",78,678654.60,TD,Apotek
IN6140,2022-03-25,CUST55595,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",25,70480.00,EPM,Apotek
IN6141,2022-01-28,CUST55401,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",25,58437.50,TD,Apotek
IN6142,2022-05-01,CUST55724,"KLINIK DR. ANDRI",Lampung,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",45,254173.50,TD,Klinik
IN6143,2022-05-02,CUST55705,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",24,67660.80,TD,Apotek
IN6144,2022-01-22,CUST55383,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",13,113109.10,EPM,Apotek
IN6145,2022-04-20,CUST55642,"APOTEK TAPAK",Aceh,AMPICILLIN,25,267265.00,EPM,Apotek
IN6146,2022-01-27,CUST55412,"KLINIK GM",Jakarta,AMPICILLIN,25,267265.00,TA,Klinik
IN6147,2022-02-13,CUST55555,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",4,11276.80,EPM,Apotek
IN6148,2022-01-31,CUST55476,"APOTEK SAHABAT",Padang,"ERGOTAMINE COFFEINE",9,41328.90,TA,Apotek
IN6149,2022-03-20,CUST55590,"APOTEK TAPAK",Aceh,"ACYCLOVIR DUS",14,16378.74,TD,Apotek
IN6150,2022-05-20,CUST55651,"APOTEK MAJA",Kuningan,"ALERGINE TABLET SALUT",5,11687.50,TD,Apotek
IN6151,2022-05-02,CUST55720,"APOTEK MERDEKA",Bandung,"ACYCLOVIR DUS",78,91252.98,EPM,Apotek
IN6152,2022-01-31,CUST55512,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,10,106906.00,TD,Apotek
IN6153,2022-03-27,CUST55597,"APOTEK TAPAK",Aceh,"TETRACYCLINE KAPSUL 250 MG",18,71854.20,TD,Apotek
IN6154,2022-04-19,CUST55641,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",12,28050.00,TA,Apotek
IN6155,2022-01-21,CUST55382,"KLINIK GM",Jakarta,AMPICILLIN,9,96215.40,TA,Klinik
IN6156,2022-04-07,CUST55608,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",24,138736.80,TA,Apotek
IN6157,2022-04-12,CUST55613,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",67,582946.90,TD,Apotek
IN6158,2022-05-01,CUST55699,"KLINIK SAHABAT",Tangerang,PARACETAMOL,14,97164.20,TA,Klinik
IN6159,2022-06-13,CUST55689,"KLINIK GM",Jakarta,PARACETAMOL,67,465000.10,TA,Klinik
IN6160,2022-05-27,CUST55672,"APOTEK TAPAK",Aceh,AMPICILLIN,5,53453.00,TA,Apotek
IN6161,2022-01-27,CUST55466,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",24,110210.40,TA,Klinik
IN6162,2022-01-28,CUST55503,"APOTEK MERDEKA",Bandung,"TRAMADOL KAPSUL 50 MG",12,104408.40,TA,Apotek
IN6163,2022-01-30,CUST55421,"KLINIK SAHABAT",Tangerang,"ALERGINE TABLET SALUT",5,11687.50,TD,Klinik
IN6164,2022-03-08,CUST55578,"APOTEK MERDEKA",Bandung,"AMBROXOL HC",1,5780.70,EPM,Apotek
IN6165,2022-06-16,CUST55722,"APOTEK SINAR JAYA",Bekasi,AMPICILLIN,34,363480.40,TA,Apotek
IN6166,2022-05-30,CUST55675,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",1,2819.20,TA,Apotek
IN6167,2022-01-28,CUST55491,"APOTEK SAHABAT",Padang,"ALERGINE TABLET SALUT",12,28050.00,EPM,Apotek
IN6168,2022-05-13,CUST55644,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",24,135559.20,TD,Klinik
IN6169,2022-05-20,CUST55665,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",67,188886.40,TA,Apotek
IN6170,2022-01-30,CUST55505,"APOTEK SINAR JAYA",Bekasi,"KETOCONAZOLE TABLET 200 MG",14,39468.80,TD,Apotek
IN6171,2022-02-03,CUST55545,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",25,70480.00,EPM,Apotek
IN6172,2022-01-28,CUST55497,"APOTEK SINAR JAYA",Bekasi,"ALERGINE TABLET SALUT",12,47902.80,EPM,Apotek
IN6173,2022-01-27,CUST55406,"KLINIK SAHABAT",Tangerang,"ACYCLOVIR DUS",12,55105.20,EPM,Klinik
IN6174,2022-04-17,CUST55618,"APOTEK SAHABAT",Padang,AMPICILLIN,9,52026.30,TA,Apotek
IN6175,2022-01-31,CUST55404,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",18,101669.40,TD,Klinik
IN6176,2022-01-30,CUST55403,"APOTEK MAJA",Kuningan,"TRAMADOL KAPSUL 50 MG",18,156612.60,EPM,Apotek
IN6177,2022-03-15,CUST55585,"APOTEK MERDEKA",Bandung,"KETOCONAZOLE TABLET 200 MG",17,47926.40,EPM,Apotek
IN6178,2022-05-02,CUST55695,"APOTEK TAPAK",Aceh,"KETOCONAZOLE TABLET 200 MG",18,50745.60,TA,Apotek
IN6179,2022-05-24,CUST55669,"KLINIK SAHABAT",Tangerang,PARACETAMOL,8,55522.40,EPM,Klinik
IN6180,2022-04-13,CUST55614,"KLINIK GM",Jakarta,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",98,553533.40,TA,Klinik
IN6181,2022-02-07,CUST55549,"KLINIK SAHABAT",Tangerang,PARACETAMOL,130,902239.00,TD,Klinik
