id_distributor,id_cabang,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,brand_id,lini,id_penjualan
TD,CAB01,IN6095,2022-01-27,CUST55478,BRG0009,5,DUS,5780.70,IDR,BRND009,VNS,IN6095_BRG0009
EPM,CAB05,IN6096,2022-02-19,CUST55561,BRG0002,25,DUS,2337.50,IDR,BRND002,ETIKAL,IN6096_BRG0002
TD,CAB01,IN6097,2022-04-30,CUST55718,BRG0009,100,DUS,5780.70,IDR,BRND009,VNS,IN6097_BRG0009
EPM,CAB02,IN6098,2022-03-29,CUST55599,BRG0010,19,DUS,6940.30,IDR,BRND010,SLCYL,IN6098_BRG0010
EPM,CAB06,IN6099,2022-01-30,CUST55457,BRG0008,5,DUS,3991.90,IDR,BRND008,MARCKS,IN6099_BRG0008
TD,CAB01,IN6100,2022-06-01,CUST55677,BRG0002,9,DUS,3991.90,IDR,BRND008,MARCKS,IN6100_BRG0002
EPM,CAB02,IN6101,2022-04-30,CUST55723,BRG0004,20,DUS,8700.70,IDR,BRND004,VNS,IN6101_BRG0004
TA,CAB01,IN6102,2022-01-31,CUST55392,BRG0003,11,DUS,10690.60,IDR,BRND003,MARCKS,IN6102_BRG0003
TA,CAB01,IN6103,2022-01-27,CUST55496,BRG0001,15,DUS,4592.10,IDR,BRND007,ETIKAL,IN6103_BRG0001
EPM,CAB01,IN6104,2022-01-30,CUST55433,BRG0004,45,DUS,8700.70,IDR,BRND004,VNS,IN6104_BRG0004
EPM,CAB09,IN6105,2022-05-02,CUST55700,BRG0001,21,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6105_BRG0001
EPM,CAB07,IN6106,2022-04-30,CUST55713,BRG0004,4,DUS,8700.70,IDR,BRND004,VNS,IN6106_BRG0004
EPM,CAB01,IN6107,2022-01-30,CUST55511,BRG0002,24,DUS,2337.50,IDR,BRND002,ETIKAL,IN6107_BRG0002
TA,CAB03,IN6108,2022-01-30,CUST55409,BRG0004,21,DUS,6940.30,IDR,BRND010,SLCYL,IN6108_BRG0004
TA,CAB01,IN6109,2022-06-16,CUST55702,BRG0003,12,DUS,10690.60,IDR,BRND003,MARCKS,IN6109_BRG0003
TD,CAB05,IN6110,2022-03-06,CUST55576,BRG0007,9,DUS,4592.10,IDR,BRND007,ETIKAL,IN6110_BRG0007
TD,CAB01,IN6111,2022-05-26,CUST55657,BRG0008,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6111_BRG0008
TA,CAB05,IN6112,2022-05-03,CUST55726,BRG0007,34,DUS,4592.10,IDR,BRND007,ETIKAL,IN6112_BRG0007
TD,CAB09,IN6113,2022-01-27,CUST55400,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6113_BRG0001
TD,CAB02,IN6114,2022-02-27,CUST55569,BRG0010,98,DUS,6940.30,IDR,BRND010,SLCYL,IN6114_BRG0010
TA,CAB10,IN6115,2022-05-03,CUST55716,BRG0007,10,DUS,4592.10,IDR,BRND007,ETIKAL,IN6115_BRG0007
TD,CAB04,IN6116,2022-01-28,CUST55455,BRG0006,67,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6116_BRG0006
TD,CAB06,IN6117,2022-05-22,CUST55667,BRG0008,5,DUS,3991.90,IDR,BRND008,MARCKS,IN6117_BRG0008
TD,CAB06,IN6118,2022-01-27,CUST55502,BRG0003,19,DUS,10690.60,IDR,BRND003,MARCKS,IN6118_BRG0003
TA,CAB02,IN6119,2022-01-28,CUST55449,BRG0010,14,DUS,6940.30,IDR,BRND010,SLCYL,IN6119_BRG0010
TD,CAB03,IN6120,2022-02-01,CUST55465,BRG0006,14,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6120_BRG0006
EPM,CAB05,IN6121,2022-05-21,CUST55666,BRG0007,98,DUS,4592.10,IDR,BRND007,ETIKAL,IN6121_BRG0007
TD,CAB09,IN6122,2022-01-30,CUST55445,BRG0006,21,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6122_BRG0006
TD,CAB06,IN6123,2022-06-16,CUST55697,BRG0008,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6123_BRG0008
TA,CAB06,IN6124,2022-01-27,CUST55442,BRG0003,95,DUS,10690.60,IDR,BRND003,MARCKS,IN6124_BRG0003
TA,CAB01,IN6125,2022-01-23,CUST55402,BRG0003,14,DUS,10690.60,IDR,BRND003,MARCKS,IN6125_BRG0003
TD,CAB08,IN6126,2022-04-23,CUST55624,BRG0005,45,DUS,5648.30,IDR,BRND005,SLCYL,IN6126_BRG0005
TA,CAB09,IN6127,2022-04-24,CUST55625,BRG0006,34,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6127_BRG0006
TA,CAB01,IN6128,2022-02-01,CUST55537,BRG0008,79,DUS,3991.90,IDR,BRND008,MARCKS,IN6128_BRG0008
TD,CAB01,IN6129,2022-02-14,CUST55556,BRG0001,8,DUS,4592.10,IDR,BRND007,ETIKAL,IN6129_BRG0001
EPM,CAB07,IN6130,2022-01-31,CUST55518,BRG0009,5,DUS,5780.70,IDR,BRND009,VNS,IN6130_BRG0009
TD,CAB01,IN6131,2022-01-27,CUST55418,BRG0009,10,DUS,5780.70,IDR,BRND009,VNS,IN6131_BRG0009
TD,CAB02,IN6132,2022-04-30,CUST55708,BRG0003,12,DUS,5780.70,IDR,BRND009,VNS,IN6132_BRG0003
TA,CAB08,IN6133,2022-02-01,CUST55429,BRG0010,78,DUS,6940.30,IDR,BRND010,SLCYL,IN6133_BRG0010
TD,CAB05,IN6134,2022-02-01,CUST55441,BRG0002,12,DUS,2337.50,IDR,BRND002,ETIKAL,IN6134_BRG0002
TA,CAB09,IN6135,2022-02-08,CUST55550,BRG0001,12,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6135_BRG0001
TD,CAB01,IN6136,2022-01-27,CUST55526,BRG0001,78,DUS,4592.10,IDR,BRND007,ETIKAL,IN6136_BRG0001
TD,CAB02,IN6137,2022-03-03,CUST55573,BRG0004,9,DUS,8700.70,IDR,BRND004,VNS,IN6137_BRG0004
TD,CAB01,IN6138,2022-04-18,CUST55661,BRG0002,10,DUS,2337.50,IDR,BRND002,ETIKAL,IN6138_BRG0002
TD,CAB07,IN6139,2022-04-22,CUST55623,BRG0004,78,DUS,8700.70,IDR,BRND004,VNS,IN6139_BRG0004
EPM,CAB09,IN6140,2022-03-25,CUST55595,BRG0006,25,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6140_BRG0006
TD,CAB10,IN6141,2022-01-28,CUST55401,BRG0002,25,DUS,2337.50,IDR,BRND002,ETIKAL,IN6141_BRG0002
TD,CAB03,IN6142,2022-05-01,CUST55724,BRG0005,45,DUS,5648.30,IDR,BRND005,SLCYL,IN6142_BRG0005
TD,CAB03,IN6143,2022-05-02,CUST55705,BRG0006,24,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6143_BRG0006
EPM,CAB03,IN6144,2022-01-22,CUST55383,BRG0004,13,DUS,8700.70,IDR,BRND004,VNS,IN6144_BRG0004
EPM,CAB01,IN6145,2022-04-20,CUST55642,BRG0003,25,DUS,10690.60,IDR,BRND003,MARCKS,IN6145_BRG0003
TA,CAB06,IN6146,2022-01-27,CUST55412,BRG0003,25,DUS,10690.60,IDR,BRND003,MARCKS,IN6146_BRG0003
EPM,CAB03,IN6147,2022-02-13,CUST55555,BRG0006,4,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6147_BRG0006
TA,CAB10,IN6148,2022-01-31,CUST55476,BRG0007,9,DUS,4592.10,IDR,BRND007,ETIKAL,IN6148_BRG0007
TD,CAB04,IN6149,2022-03-20,CUST55590,BRG0001,14,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6149_BRG0001
TD,CAB05,IN6150,2022-05-20,CUST55651,BRG0002,5,DUS,2337.50,IDR,BRND002,ETIKAL,IN6150_BRG0002
EPM,CAB03,IN6151,2022-05-02,CUST55720,BRG0001,78,DUS,1169.91,IDR,BRND001,"OGB & PH",IN6151_BRG0001
TD,CAB01,IN6152,2022-01-31,CUST55512,BRG0003,10,DUS,10690.60,IDR,BRND003,MARCKS,IN6152_BRG0003
TD,CAB01,IN6153,2022-03-27,CUST55597,BRG0008,18,DUS,3991.90,IDR,BRND008,MARCKS,IN6153_BRG0008
TA,CAB10,IN6154,2022-04-19,CUST55641,BRG0002,12,DUS,2337.50,IDR,BRND002,ETIKAL,IN6154_BRG0002
TA,CAB02,IN6155,2022-01-21,CUST55382,BRG0003,9,DUS,10690.60,IDR,BRND003,MARCKS,IN6155_BRG0003
TA,CAB07,IN6156,2022-04-07,CUST55608,BRG0009,24,DUS,5780.70,IDR,BRND009,VNS,IN6156_BRG0009
TD,CAB01,IN6157,2022-04-12,CUST55613,BRG0004,67,DUS,8700.70,IDR,BRND004,VNS,IN6157_BRG0004
TA,CAB08,IN6158,2022-05-01,CUST55699,BRG0010,14,DUS,6940.30,IDR,BRND010,SLCYL,IN6158_BRG0010
TA,CAB02,IN6159,2022-06-13,CUST55689,BRG0010,67,DUS,6940.30,IDR,BRND010,SLCYL,IN6159_BRG0010
TA,CAB01,IN6160,2022-05-27,CUST55672,BRG0003,5,DUS,10690.60,IDR,BRND003,MARCKS,IN6160_BRG0003
TA,CAB01,IN6161,2022-01-27,CUST55466,BRG0001,24,DUS,4592.10,IDR,BRND007,ETIKAL,IN6161_BRG0001
TA,CAB07,IN6162,2022-01-28,CUST55503,BRG0004,12,DUS,8700.70,IDR,BRND004,VNS,IN6162_BRG0004
TD,CAB01,IN6163,2022-01-30,CUST55421,BRG0002,5,DUS,2337.50,IDR,BRND002,ETIKAL,IN6163_BRG0002
EPM,CAB07,IN6164,2022-03-08,CUST55578,BRG0009,1,DUS,5780.70,IDR,BRND009,VNS,IN6164_BRG0009
TA,CAB01,IN6165,2022-06-16,CUST55722,BRG0003,34,DUS,10690.60,IDR,BRND003,MARCKS,IN6165_BRG0003
TA,CAB03,IN6166,2022-05-30,CUST55675,BRG0006,1,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6166_BRG0006
EPM,CAB10,IN6167,2022-01-28,CUST55491,BRG0002,12,DUS,2337.50,IDR,BRND002,ETIKAL,IN6167_BRG0002
TD,CAB02,IN6168,2022-05-13,CUST55644,BRG0005,24,DUS,5648.30,IDR,BRND005,SLCYL,IN6168_BRG0005
TA,CAB04,IN6169,2022-05-20,CUST55665,BRG0006,67,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6169_BRG0006
TD,CAB09,IN6170,2022-01-30,CUST55505,BRG0006,14,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6170_BRG0006
EPM,CAB04,IN6171,2022-02-03,CUST55545,BRG0006,25,DUS,2819.20,IDR,BRND006,"OGB & PH",IN6171_BRG0006
EPM,CAB01,IN6172,2022-01-28,CUST55497,BRG0002,12,DUS,3991.90,IDR,BRND008,MARCKS,IN6172_BRG0002
EPM,CAB01,IN6173,2022-01-27,CUST55406,BRG0001,12,DUS,4592.10,IDR,BRND007,ETIKAL,IN6173_BRG0001
TA,CAB02,IN6174,2022-04-17,CUST55618,BRG0003,9,DUS,5780.70,IDR,BRND009,VNS,IN6174_BRG0003
TD,CAB02,IN6175,2022-01-31,CUST55404,BRG0005,18,DUS,5648.30,IDR,BRND005,SLCYL,IN6175_BRG0005
EPM,CAB01,IN6176,2022-01-30,CUST55403,BRG0004,18,DUS,8700.70,IDR,BRND004,VNS,IN6176_BRG0004
